"","state","black","native","asian","hispanic","college","biden_margin","pres_swing","one_dose","land_area","population","population_density","log_density","median_age","median_income","log_median_income","prediction","residual"
"1","Alabama",27.8,1.1,1.8,4.5,26.4,-25.5,2.3,36.2,131171,4876250,37.1747566154104,3.61562994532843,39,26231,10.1746971964194,36.6885271059241,-0.488527105924064
"2","Alaska",4.7,20.1,8.4,7.2,30.2,-10.1,4.7,46.9,1477953,737068,0.49870868694742,-0.695733147397052,34.3,34018,10.434645075274,47.9574785051435,-1.05747850514355
"3","Arizona",6,5.7,4.6,31.7,30.2,0.3,3.8,47.3,294207,7050299,23.9637364168766,3.17654170503235,37.7,30216,10.3161268643923,51.5695580543363,-4.26955805433629
"4","Arkansas",16.7,1.8,2,7.7,35,-27.6,-0.7,40.3,134771,2999370,22.2553071506481,3.10258050379465,38.1,25758,10.1565005374526,40.7758341680271,-0.475834168027113
"5","California",7,2,17.1,39.4,42.7,29.2,-1,58.3,403466,39283497,97.3650741326407,4.57846756454226,36.5,31960,10.3722403998802,62.1056713093497,-3.80567130934968
"6","Colorado",5.4,2.4,4.6,21.8,40,13.5,8.6,55.5,268431,5610349,20.9005256471868,3.0397743092376,36.7,35887,10.4881303919045,57.0182146611874,-1.51821466118743
"7","Connecticut",13.2,1,5.6,16.9,39.8,20.1,6.4,64.5,12542,3575074,285.048158188487,5.65265814209375,41,37865,10.5417824815479,61.8335194331845,2.66648056681547
"8","Delaware",24.4,1,4.7,9.6,33.2,19,7.6,55.9,5047,957248,189.666732712502,5.24526849367874,40.6,33628,10.4231143322552,55.7457265239337,0.154273476066294
"9","Florida",17.6,0.8,3.7,26.4,30.7,-3.4,-2.2,50.6,138887,20901636,150.493825916032,5.01392205953369,42,27936,10.2376714586393,50.0827170313531,0.517282968646903
"10","Georgia",33.5,0.9,4.9,9.8,32.5,0.2,5.3,41.3,148959,10403847,69.8436952450003,4.24625982028343,36.7,29958,10.3075516797287,42.6776060506215,-1.37760605062146
"11","Hawaii",3.5,2.3,56.6,10.7,33.6,29.5,-2.7,67.8,16635,1422094,85.488067327923,4.44837680278673,39.1,35515,10.4777104214319,65.317172110215,2.48282788978496
"12","Idaho",1.2,2.4,2.5,12.8,28.8,-30.8,1,38.2,214045,1717750,8.02518162068724,2.08258430062132,36.4,27243,10.2125518863579,41.7990854851012,-3.59908548510116
"13","Illinois",15.4,0.8,6.6,17.5,35.8,17,-0.1,56.4,143793,12770631,88.8126056205796,4.48652859511015,38.1,32495,10.3888415103284,55.9299421144988,0.470057885501227
"14","Indiana",11,0.8,3.1,7.2,26.9,-16.1,3.1,42.6,92789,6665703,71.8372113073748,4.27440260513603,37.7,30005,10.3091193134236,45.6535565539479,-3.05355655394787
"15","Iowa",5.2,0.8,3,6.3,29.3,-8.2,1.2,50,144669,3139508,21.701318181504,3.0773730043929,38.2,31707,10.3642927556775,49.7926492722376,0.207350727762396
"16","Kansas",7.4,2.3,3.7,12.2,34,-14.7,5.6,47.5,211754,2910652,13.7454404639346,2.62070716649733,36.7,31017,10.3422907202548,46.4234194885445,1.07658051145555
"17","Kentucky",9.5,0.6,2.1,3.8,25.1,-25.9,3.9,47.3,102269,4449052,43.5034272360148,3.77283972202593,38.9,26653,10.1906569936149,43.1598903026167,4.14010969738333
"18","Louisiana",33.4,1.3,2.1,5.4,25,-18.6,1,36.5,111898,4664362,41.6840515469445,3.73011859874165,36.9,26295,10.1771340860234,35.2468687129467,1.25313128705334
"19","Maine",2.4,1.6,1.7,1.7,33.2,9,6,64.5,79883,1335492,16.7181002215741,2.81649197808936,44.7,29808,10.3025320928414,61.392632905054,3.10736709494603
"20","Maryland",32.2,0.9,7.7,10.6,40.9,33.2,6.8,58.7,25142,6018848,239.394161164585,5.47811140337191,38.7,40341,10.605123600492,57.8424426197311,0.857557380268915
"21","Massachusetts",9.9,0.7,8,12.4,45,33.5,6.3,68,20202,6850553,339.102712602713,5.8263030485178,39.5,37886,10.5423369296882,67.8431422039691,0.156857796030863
"22","Michigan",15.3,1.5,4,5.3,30,2.8,3,49.7,146435,9965265,68.0524806228019,4.22027918137653,39.7,29672,10.2979591191694,52.1282088500063,-2.42820885000631
"23","Minnesota",8.1,2,5.9,5.6,37.3,7,5.6,55.3,206232,5563378,26.9763082353854,3.29495900803625,38,36076,10.4933831032856,55.6328836357365,-0.332883635736472
"24","Mississippi",38.9,0.8,1.4,3,22.3,-16.6,1.3,34.8,121531,2984418,24.5568455784944,3.20099065767244,37.5,24509,10.1067956760162,33.0630086640534,1.73699133594656
"25","Missouri",12.9,1.3,2.7,4.3,30.2,-15.4,3.3,43,178040,6104910,34.2895416760279,3.53484040027374,38.6,29649,10.2971836770443,45.9250470590373,-2.9250470590373
"26","Montana",1.4,8.4,1.6,3.8,33.6,-16.4,4.1,46.3,376962,1050649,2.78714830672588,1.02501896083567,39.9,28409,10.2544612753551,50.5258465682464,-4.2258465682464
"27","Nebraska",6.1,1.8,3.2,11.3,33.2,-19,6,49.3,198974,1914571,9.62221697307186,2.26407469270831,36.5,31933,10.371395236823,44.7937098275617,4.50629017243833
"28","Nevada",11.3,2.3,10.5,29.2,25.7,2.4,0,46.6,284332,2972382,10.4539130312452,2.34697636107162,38,31206,10.3483656630011,47.7954466501004,-1.19544665010043
"29","New Hampshire",2.2,0.9,3.5,4,37.6,7.4,7,60.8,23187,1348124,58.1413723206969,4.06287749857932,42.9,35807,10.4858986840014,61.8261565761603,-1.02615657616032
"30","New Jersey",15.1,0.6,10.7,20.9,41.2,16,1.9,60.8,19047,8878503,466.136556938101,6.14447863183732,39.9,38238,10.5515850645423,59.6017593433418,1.19824065665819
"31","New Mexico",3.4,10.8,2.5,49.3,27.7,10.8,2.6,58.7,314161,2092454,6.66045116994153,1.89618722549229,37.8,25881,10.1612643877447,53.9548970120576,4.74510298794245
"32","New York",17.6,1,9.7,19.3,37.8,23.1,0.6,57.2,122057,19572319,160.353924805624,5.07738340233244,38.8,33562,10.4211497535611,58.4735827613888,-1.27358276138883
"33","North Carolina",23.1,2,3.6,9.8,32.3,-1.4,2.3,44,125920,10264876,81.5190279542567,4.40083646482788,38.7,28836,10.2693798855245,47.7631567731242,-3.7631567731242
"34","North Dakota",3.9,6.9,2.1,4,30.4,-33.4,2.4,42.7,178711,756717,4.23430566669091,1.44321936346796,35.1,35499,10.4772598060527,40.6411133703071,2.05888662969291
"35","Ohio",14.4,0.8,3,4,29.3,-8,0.1,46.8,105829,11655397,110.134244866719,4.70170002957932,39.4,30171,10.3146364771126,49.2197580753445,-2.41975807534448
"36","Oklahoma",9.2,13.7,2.9,11.1,26.2,-33.1,4,42.1,177660,3932870,22.1370595519532,3.09725310689536,36.6,27637,10.2269107336407,42.0493376213548,0.0506623786452209
"37","Oregon",3,3.1,6.2,13.4,34.6,16.1,5.1,56.2,248608,4129803,16.6117059788905,2.81010762629153,39.3,30710,10.3323436134349,59.7902035421116,-3.59020354211162
"38","Pennsylvania",12.9,0.7,4.2,7.8,32.3,1.2,1.9,59.9,115883,12791530,110.383145068733,4.70395745070865,40.8,31099,10.3449309433095,53.8557384985381,6.04426150146195
"39","Rhode Island",9.6,1.3,4.5,16.3,34.8,20.8,5.3,62.2,2678,1057231,394.783793876027,5.97833825777056,39.9,32256,10.381459351431,62.1534546083698,0.0465453916301612
"40","South Carolina",28,0.9,2.2,5.8,29.6,-11.7,2.6,41.7,77857,5020806,64.4875348395135,4.16647194682282,39.4,27366,10.2170566459398,42.3254113119877,-0.625411311987698
"41","South Dakota",3,10.5,1.6,3.7,29.7,-26.2,3.6,48.8,196350,870638,4.43411255411255,1.48932749520044,37,31033,10.3428064334008,45.3339996393505,3.46600036064951
"42","Tennessee",18,0.9,2.4,5.7,28.7,-23.2,2.8,39,106798,6709356,62.8228618513455,4.14031904944574,38.7,27607,10.2258246427367,41.8192406420417,-2.81924064204171
"43","Texas",13.5,1.2,5.8,39.7,30.8,-5.6,3.4,45.4,676587,28260856,41.7697295395862,3.73217190349617,34.6,30596,10.3286245604418,43.909719621266,1.49028037873402
"44","Utah",1.9,1.8,3.7,14.4,34.8,-20.5,-2.4,46,212818,3096848,14.5516262722138,2.67770275865773,30.8,30801,10.3353024359671,42.8713105096012,3.12868949039876
"45","Vermont",2.1,1.4,2.4,2,38.7,35.4,9,71.7,23871,624313,26.1536173599765,3.26398751210951,42.9,31492,10.3574888243044,70.193992903517,1.50600709648296
"46","Virginia",21.3,0.9,8.1,9.7,39.6,10.1,4.8,56.5,102279,8454463,82.660790582622,4.41474537330862,38.2,35421,10.4750601435752,52.9620254887248,3.53797451127522
"47","Washington",5.6,3,11.6,13,37,19.2,3.5,58.1,172119,7404107,43.0173717021363,3.76160402718327,37.7,35989,10.4909686151911,60.3764255683876,-2.27642556838761
"48","West Virginia",4.8,0.6,1.1,1.5,21.1,-38.9,3.2,41.4,62259,1817305,29.189434459275,3.3738068102102,42.5,25320,10.1393498762581,42.0093109538389,-0.609310953838907
"49","Wisconsin",7.5,1.6,3.5,7.1,31.3,0.6,1.4,52,140268,5790716,41.2832292468703,3.72045634599328,39.5,32009,10.3737723922385,53.8188347869748,-1.81883478697483
"50","Wyoming",2.1,3.3,1.5,10.1,29.1,-43.4,2.9,37.8,251470,581024,2.31051020002386,0.837468365957634,37.7,31974,10.3726783515248,37.430764525546,0.369235474454022
